metric,mean,std,median,min,max,ci_lower_t,ci_upper_t,ci_width_t,ci_lower_percentile,ci_upper_percentile,ci_width_percentile,n_runs
total_cf,239.0,0.0,239.0,239.0,239.0,,,,239.0,239.0,0.0,100
working_cf,28.39,3.0046932985218002,29.0,19.0,37.0,27.793803662298853,28.98619633770115,1.1923926754022958,23.0,33.0,10.0,100
success_rate,0.11878661087866112,0.012571938487538913,0.12133891213389121,0.0794979079497908,0.15481171548117154,0.1162920655326312,0.12128115622469103,0.004989090692059828,0.09623430962343096,0.13807531380753138,0.04184100418410042,100
euclidean_mean_all,1.1746861924686192,0.0542561821474755,1.1715481171548117,1.0376569037656904,1.3179916317991631,1.1639205888345028,1.1854517961027355,0.021531207268232766,1.0731171548117155,1.2849372384937237,0.2118200836820081,100
euclidean_std_all,0.8348273966833167,0.025179143552740115,0.8355307573864024,0.7679499957350798,0.8867919235168877,0.829831308337135,0.8398234850294984,0.009992176692363408,0.7817851786042179,0.8800139405569146,0.0982287619526967,100
euclidean_median_all,1.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,100
manhattan_mean_all,1.1746861924686192,0.0542561821474755,1.1715481171548117,1.0376569037656904,1.3179916317991631,1.1639205888345028,1.1854517961027355,0.021531207268232766,1.0731171548117155,1.2849372384937237,0.2118200836820081,100
manhattan_std_all,0.8348273966833167,0.025179143552740115,0.8355307573864024,0.7679499957350798,0.8867919235168877,0.829831308337135,0.8398234850294984,0.009992176692363408,0.7817851786042179,0.8800139405569146,0.0982287619526967,100
manhattan_median_all,1.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,100
euclidean_mean_working,1.7077990148103948,0.07982371911239272,1.7096774193548387,1.5161290322580645,1.8928571428571428,1.691960257150867,1.7236377724699226,0.031677515319055605,1.5482638888888889,1.8667408231368186,0.31847693424792967,100
euclidean_std_working,0.45408706860854187,0.04200541062375433,0.4614143753790638,0.314970394174356,0.5089773777040515,0.4457522838270682,0.4624218533900155,0.016669569562947295,0.34560029929442965,0.5072258663827709,0.16162556708834125,100
euclidean_median_working,2.0,0.0,2.0,2.0,2.0,,,,2.0,2.0,0.0,100
manhattan_mean_working,1.7077990148103948,0.07982371911239272,1.7096774193548387,1.5161290322580645,1.8928571428571428,1.691960257150867,1.7236377724699226,0.031677515319055605,1.5482638888888889,1.8667408231368186,0.31847693424792967,100
manhattan_std_working,0.45408706860854187,0.04200541062375433,0.4614143753790638,0.314970394174356,0.5089773777040515,0.4457522838270682,0.4624218533900155,0.016669569562947295,0.34560029929442965,0.5072258663827709,0.16162556708834125,100
manhattan_median_working,2.0,0.0,2.0,2.0,2.0,,,,2.0,2.0,0.0,100
change_cp_mean,-1.3991518399894658,0.13226797554191522,-1.3899769585253456,-1.7407407407407407,-1.1481481481481481,-1.4253966759106662,-1.3729070040682654,0.05248967184240083,-1.625383141762452,-1.1851851851851851,0.4401979565772669,100
change_cp_std,1.0802983848891268,0.15445299520482422,1.1063596893630037,0.6558958989042621,1.4073539573576799,1.0496515597594567,1.1109452100187969,0.06129365025934019,0.770247554347165,1.3344380574105077,0.5641905030633427,100
change_trestbps_mean,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_trestbps_std,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_fbs_mean,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_fbs_std,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_restecg_mean,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_restecg_std,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_thalach_mean,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_thalach_std,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_exang_mean,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_exang_std,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_oldpeak_mean,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_oldpeak_std,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_slope_mean,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
change_slope_std,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,100
