metric,mean,std,median,min,max,ci_lower,ci_upper,ci_width,n_bootstrap
total_successful_cfs,94.0,0.0,94.0,94.0,94.0,94.0,94.0,0.0,100
trestbps_improved_count,59.11,4.150927850517523,59.0,50.0,71.0,50.95,66.52499999999999,15.574999999999989,100
trestbps_improved_pct,62.88297872340426,4.415880692039917,62.76595744680851,53.191489361702125,75.53191489361703,54.20212765957447,70.77127659574467,16.569148936170194,100
trestbps_worsened_count,33.9,4.140219093407272,34.0,22.0,43.0,26.475,41.0,14.524999999999999,100
trestbps_worsened_pct,36.06382978723404,4.404488397241779,36.17021276595745,23.404255319148938,45.744680851063826,28.16489361702128,43.61702127659575,15.452127659574469,100
trestbps_no_change_count,0.99,0.8703302519588454,1.0,0.0,3.0,0.0,3.0,3.0,100
trestbps_no_change_pct,1.053191489361702,0.9258832467647293,1.0638297872340425,0.0,3.1914893617021276,0.0,3.1914893617021276,3.1914893617021276,100
mean_orig_trestbps,132.92712765957447,1.412343747193504,133.00531914893617,129.39361702127658,137.4787234042553,130.5840425531915,135.7936170212766,5.209574468085094,100
mean_cf_trestbps,128.99393617021278,1.7008176878096823,129.08510638297872,123.37234042553192,133.5531914893617,126.11595744680852,132.54920212765958,6.433244680851061,100
mean_diff_trestbps,-3.933191489361702,2.1544408837198334,-3.867021276595745,-9.914893617021276,1.074468085106383,-7.86382978723404,-0.013031914893618018,7.850797872340421,100
cp_improved_count,73.15,3.6910347294136066,73.0,64.0,82.0,67.47500000000001,80.52499999999999,13.049999999999983,100
cp_improved_pct,77.81914893617022,3.926632690865538,77.6595744680851,68.08510638297872,87.2340425531915,71.78191489361703,85.66489361702126,13.882978723404236,100
cp_worsened_count,5.88,2.2440943821416237,6.0,1.0,12.0,2.0,10.0,8.0,100
cp_worsened_pct,6.25531914893617,2.3873344490868336,6.382978723404255,1.0638297872340425,12.76595744680851,2.127659574468085,10.638297872340425,8.51063829787234,100
cp_no_change_count,14.97,3.5631531830754355,15.0,6.0,23.0,7.0,21.52499999999999,14.524999999999991,100
cp_no_change_pct,15.925531914893618,3.7905884926334417,15.957446808510639,6.382978723404255,24.46808510638298,7.446808510638298,22.898936170212757,15.452127659574458,100
cp_changed_count,79.03,3.5631531830754355,79.0,71.0,88.0,72.47500000000001,87.0,14.524999999999991,100
cp_changed_pct,84.0744680851064,3.7905884926334408,84.04255319148936,75.53191489361703,93.61702127659575,77.10106382978724,92.5531914893617,15.452127659574458,100
exang_improved_count,58.96,4.5392118748131205,58.5,42.0,69.0,52.0,67.0,15.0,100
