Metric,Run 1 Mean,Run 1 95% CI,Run 2 Mean,Run 2 95% CI,Diff
total_successful_cfs,22.79,"[17.0, 28.5]",22.21,"[15.5, 27.0]",-0.58
trestbps_improved_pct,68.87,"[54.2, 81.4]",68.39,"[55.3, 80.5]",-0.48
trestbps_worsened_pct,1.7,"[0.0, 8.7]",1.99,"[0.0, 8.4]",0.29
trestbps_no_change_pct,29.43,"[15.2, 45.4]",29.62,"[17.4, 43.4]",0.2
mean_diff_trestbps,-21.68,"[-25.9, -15.8]",-21.29,"[-27.5, -16.6]",0.39
cp_improved_pct,67.99,"[50.0, 82.2]",70.86,"[47.4, 90.5]",2.87
cp_worsened_pct,8.12,"[0.0, 17.4]",7.13,"[0.0, 15.5]",-0.99
cp_no_change_pct,23.89,"[8.0, 43.3]",22.01,"[4.9, 42.3]",-1.88
exang_improved_pct,63.48,"[45.5, 76.2]",62.64,"[44.3, 78.3]",-0.84
exang_worsened_pct,3.28,"[0.0, 10.6]",3.73,"[0.0, 12.3]",0.45
exang_no_change_pct,33.24,"[20.0, 50.3]",33.63,"[19.0, 52.2]",0.39
oldpeak_improved_pct,63.4,"[47.8, 80.0]",63.32,"[44.6, 78.9]",-0.08
oldpeak_worsened_pct,23.89,"[9.3, 42.2]",24.09,"[9.1, 42.9]",0.2
oldpeak_no_change_pct,12.71,"[1.8, 23.9]",12.59,"[1.9, 26.2]",-0.12
mean_diff_oldpeak,-0.65,"[-1.1, -0.1]",-0.66,"[-1.1, -0.2]",-0.0
thalach_improved_pct,74.88,"[57.4, 91.1]",76.28,"[56.0, 91.3]",1.4
thalach_worsened_pct,23.56,"[8.2, 39.6]",22.79,"[7.6, 40.9]",-0.76
thalach_no_change_pct,1.56,"[0.0, 8.9]",0.93,"[0.0, 7.9]",-0.64
mean_diff_thalach,23.8,"[11.3, 38.3]",24.02,"[13.0, 36.4]",0.22
slope_improved_pct,67.77,"[41.7, 85.7]",69.66,"[51.0, 87.2]",1.88
slope_worsened_pct,4.27,"[0.0, 13.4]",4.84,"[0.0, 14.7]",0.57
slope_no_change_pct,27.95,"[9.8, 50.1]",25.5,"[8.7, 42.6]",-2.45
restecg_improved_pct,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0
restecg_worsened_pct,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0
restecg_no_change_pct,100.0,"[100.0, 100.0]",100.0,"[100.0, 100.0]",0.0
