metric,mean,std,median,min,max,ci_lower,ci_upper,ci_width,n_iterations
total_successful_cfs,22.21,3.1695999173970892,22.5,14.0,31.0,15.475000000000001,27.0,11.524999999999999,100
trestbps_improved_pct,68.39024297946743,6.804701513746776,68.18181818181817,50.0,85.71428571428571,55.26388888888889,80.49999999999999,25.236111111111093,100
trestbps_worsened_pct,1.9880275673982768,2.9154257866738136,0.0,0.0,13.636363636363635,0.0,8.365217391304341,8.365217391304341,100
trestbps_no_change_pct,29.6217294531343,6.9829615110325856,28.57142857142857,14.285714285714285,50.0,17.391304347826086,43.42948717948716,26.038182831661075,100
mean_diff_trestbps,-21.287558719156735,2.95870217285806,-20.95095693779904,-29.928571428571427,-14.88888888888889,-27.459832015810274,-16.595055555555557,10.864776460254717,100
cp_improved_pct,70.86238414460595,10.195206779277008,72.72727272727273,40.0,95.45454545454545,47.423273657289,90.5222222222222,43.098948564933195,100
cp_worsened_pct,7.13039989248467,4.640717427813785,7.549857549857549,0.0,17.391304347826086,0.0,15.524999999999991,15.524999999999991,100
cp_no_change_pct,22.007215962909385,10.058906588256756,21.240601503759397,4.0,60.0,4.886363636363638,42.2579051383399,37.37154150197626,100
cp_changed_pct,77.99278403709062,10.058906588256756,78.7593984962406,40.0,96.0,57.742094861660085,95.11363636363636,37.371541501976274,100
cp_mode_before,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,100
cp_mode_after,3.0,0.0,3.0,2.0,4.0,3.0,3.0,0.0,100
exang_improved_pct,62.64054065914624,9.471966583661674,64.0,29.411764705882355,78.94736842105263,44.270833333333336,78.26086956521739,33.990036231884055,100
exang_worsened_pct,3.730175227490522,4.051090849597829,4.0,0.0,15.0,0.0,12.262499999999996,12.262499999999996,100
exang_no_change_pct,33.62928411336324,9.347202075080055,32.0,15.0,64.70588235294117,19.047619047619047,52.187499999999964,33.13988095238092,100
exang_mode_before,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,100
exang_mode_after,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
oldpeak_improved_pct,63.32132358655322,8.533715187671858,63.63636363636363,38.88888888888889,82.6086956521739,44.55357142857144,78.88392857142856,34.33035714285712,100
oldpeak_worsened_pct,24.08937602559601,9.055085527947968,23.076923076923077,5.0,50.0,9.089026915113873,42.857142857142854,33.768115942028984,100
oldpeak_no_change_pct,12.58930038785077,6.21958187259866,12.0,0.0,29.411764705882355,1.9000000000000092,26.207093821510295,24.307093821510286,100
mean_diff_oldpeak,-0.6556973225811835,0.24708114029233424,-0.6792634730765182,-1.201473111624906,0.0331218071966627,-1.103425137376548,-0.1807993597263223,0.9226257776502257,100
thalach_improved_pct,76.27878737394445,8.766535100617611,76.47058823529412,50.0,94.11764705882352,56.01449275362319,91.30434782608695,35.289855072463766,100
thalach_worsened_pct,22.794868310146025,8.883881415630654,22.22222222222222,4.3478260869565215,50.0,7.630434782608701,40.92132505175979,33.290890269151085,100
thalach_no_change_pct,0.9263443159095331,2.2539542265233705,0.0,0.0,11.11111111111111,0.0,7.893518518518509,7.893518518518509,100
mean_diff_thalach,24.02338104949838,6.428311247807861,23.769736842105264,2.0454545454545454,39.93333333333333,12.952272727272732,36.41086956521738,23.45859683794465,100
slope_improved_pct,69.65556592848907,10.069959646776843,70.48387096774194,43.47826086956522,92.3076923076923,50.95,87.24184782608695,36.29184782608695,100
slope_worsened_pct,4.84280974534407,4.421848451203393,4.446640316205533,0.0,16.666666666666664,0.0,14.66071428571428,14.66071428571428,100
slope_no_change_pct,25.50162432616686,9.276705656752878,26.006441223832525,5.555555555555555,52.17391304347826,8.69318181818182,42.61775362318839,33.92457180500657,100
slope_mode_before,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,100
slope_mode_after,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,100
restecg_improved_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
restecg_worsened_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
restecg_no_change_pct,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100
restecg_mode_before,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
restecg_mode_after,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
